"row ID","previsto"
"R^2",0.9991380618455973
"mean absolute error",0.012836393186324305
"mean squared error",4.297338490835854E-4
"root mean squared deviation",0.02073002289153549
"mean signed difference",-4.1732957382819625E-4
"R^2",0.9991380618455973
"mean absolute error",0.012836393186324305
"mean squared error",4.297338490835854E-4
"root mean squared deviation",0.02073002289153549
"mean signed difference",-4.1732957382819625E-4
"R^2",0.9991380618455973
"mean absolute error",0.012836393186324305
"mean squared error",4.297338490835854E-4
"root mean squared deviation",0.02073002289153549
"mean signed difference",-4.1732957382819625E-4
"R^2",0.9991380618455973
"mean absolute error",0.012836393186324305
"mean squared error",4.297338490835854E-4
"root mean squared deviation",0.02073002289153549
"mean signed difference",-4.1732957382819625E-4
